state,neigh,AFFGEOID,AFFGEOID.a,AFFGEOID.b,n_obs,sum_pernum,mean_pernum,p_move,mean_inc,sd_inc,q1_inc,q2_inc,q3_inc,mean_inc_nwage,mean_i_white,mean_i_black,mean_i_native,mean_i_asian,mean_i_hispanic,p_ownership,mean_rent,sd_rent,q1_rent,q2_rent,q3_rent,mean_valueh,sd_valueh,q1_valueh,q2_valueh,q3_valueh
IN,muni,0600000US1805369912,,,290,734,2.53103448275862,0.44,340.32,556.293926140944,0,40,532,0.207070707070707,1,0,0,0,1,0.717241379310345,176.182926829268,410.690719835778,6.25,10,14.25,193722.076923077,1376466.65178616,500,1050,2000
IN,muni,0600000US1805378479,,,764,1998,2.6151832460733,0.532670454545455,255.107325383305,503.911722723121,0,0,360,0.266211604095563,1,0,0,0,1,0.667539267015707,27.6732283464567,113.666975572422,6,7,10,118611.31372549,1079206.56757354,500,700,1200
IN,muni,0600000US1805700388,,,1507,3785,2.51161247511612,0.524566473988439,297.034188034188,592.333308356541,0,0,387,0.294970161977835,0.993364299933643,0.006635700066357,0,0,1,0.637027206370272,18.7537313432836,71.3367621280281,8,10,15,54002.8864583333,720043.526047885,900,1800,2500
IN,muni,0600000US1805713060,,,830,1792,2.15903614457831,0.724619289340102,519.821480406386,777.085198407763,0,36,900,0.203193033381713,0.903614457831325,0.0963855421686747,0,0,1,0.273276904474002,22.9305084745763,14.3308085168321,14,20,30,533755.867256637,2246592.93319018,1900,3000,4200
IN,muni,0600000US1805737044,,,977,2382,2.43807574206755,0.581187010078387,257.767341040462,454.370813109672,0,0,400,0.327205882352941,1,0,0,0,1,0.658461538461538,10.6151515151515,6.54981478250951,8,10,12,32545.1728971963,557633.161631558,600,1200,1800
IN,muni,0600000US1805754198,,,4404,11442,2.59809264305177,0.605237154150198,358.998560322488,603.374012070977,0,0,600,0.243013042321001,0.956630336058129,0.043369663941871,0,0,1,0.548254620123203,14.4558521560575,8.77818896952584,8,12,20,64580.9825218477,787600.564894353,1000,1800,3000
IN,muni,0600000US1809537188,,,7,11,1.57142857142857,0.714285714285714,608.833333333333,621.713894542069,75,501.5,1038.25,0.166666666666667,1,0,0,0,1,0.333333333333333,28,0,28,28,28,2000,0,2000,2000,2000
IN,muni,0600000US1809573556,,,948,2455,2.58966244725738,0.552291421856639,523.197278911565,674.764601596377,0,36,999,0.163563829787234,1,0,0,0,1,0.634801288936627,13.3184523809524,4.86256660783543,10,12,16,52524.6615905245,711137.100809571,1000,1500,2000
IN,muni,0600000US1805780666,,,523,1371,2.62141491395794,0.566666666666667,867.834437086093,668.437884727904,400,750,1100,0.345703125,0.988527724665392,0.011472275334608,0,0,1,0.60038240917782,14.6602870813397,8.60927506964904,8,12,20,65845.7515923567,796639.901636469,1000,1800,3000
IN,muni,0600000US1805911368,,,4330,10694,2.46974595842956,0.581565854935847,345.818757192175,617.541500150216,0,0,500,0.197658589708685,0.996304849884527,0.00369515011547344,0,0,1,0.569988276670574,32.9843837144451,186.558145681933,9,12,20,236406.094199918,1513200.05489193,650,1500,3000
IN,muni,0600000US1814578578,,,37,85,2.2972972972973,0.685714285714286,520.903225806452,1066.62218724466,0,0,752,0.290322580645161,1,0,0,0,1,0.648648648648649,20.4615384615385,4.96009718680633,15,20,25,2704.16666666667,1382.64999710438,1600,3500,3500
IN,muni,0600000US1805929142,,,81,195,2.40740740740741,0.448717948717949,470.661971830986,806.861768009897,0,0,845,0.23943661971831,1,0,0,0,1,0.604938271604938,15.3125,4.86221441652444,8,18,19,2624.69387755102,905.623868853253,1800,2500,3100
IN,muni,0600000US1805937062,,,44,111,2.52272727272727,0.82051282051282,438.25,639.500308961059,0,36,770.5,0.3125,1,0,0,0,1,0.441860465116279,17,5.09901951359278,13,18,20,3421.05263157895,884.168754234684,2700,3200,4000
IN,muni,0600000US1805906040,,,3,6,2,1,490,848.70489570875,0,0,735,0,1,0,0,0,1,0,15,0,15,15,15,,,,,
IN,muni,0600000US1805973880,,,28,54,1.92857142857143,0.48,621.739130434783,1107.97174305088,0,0,925,0.222222222222222,1,0,0,0,1,0.5,15.3076923076923,7.61998048318384,10,13,15,1969.23076923077,570.649652274516,2000,2000,2000
IN,muni,0600000US1805908794,,,30,60,2,0.482758620689655,451.153846153846,879.428573213661,0,0,487.5,0.423076923076923,1,0,0,0,1,0.766666666666667,25,0,25,25,25,3647.82608695652,1235.41291044271,3250,4000,4500
IN,muni,0600000US1805978866,,,1438,3580,2.48956884561892,0.59304084720121,395.721824686941,629.926933341937,0,0,700,0.337801608579088,1,0,0,0,1,0.665041782729805,84.199124726477,358.984040596154,10,15,23,264035.12565445,1597111.50203188,1000,2000,3500
IN,muni,0600000US1806106544,,,55,128,2.32727272727273,0.148148148148148,185.952380952381,471.414578682281,0,0,180,0.302325581395349,1,0,0,0,1,0.963636363636364,4,0,4,4,4,1022.83018867925,1101.75101430979,450,750,1500
IN,muni,0600000US1806125396,,,266,754,2.83458646616541,0.281746031746032,234.638613861386,402.657049604349,0,0,357.5,0.257425742574257,1,0,0,0,1,0.755639097744361,12.9846153846154,39.0030016103298,7,8,9,1710.7960199005,1058.63183552361,1000,1500,2200
IN,muni,0600000US1806131810,,,836,2199,2.63038277511962,0.496815286624204,290.874622356496,592.859095486306,0,0,371.5,0.232732732732733,1,0,0,0,1,0.59688995215311,11.4564564564565,5.35898598421117,7,10,15,2036.60320641283,1623.91024159612,1000,1700,2500
IN,muni,0600000US1806137080,,,116,290,2.5,0.60952380952381,285.185567010309,468.168357580389,0,0,450,0.268041237113402,1,0,0,0,1,0.741379310344828,8.86666666666667,2.31536596248409,10,10,10,1307.38372093023,885.505746732668,700,1000,1800
IN,muni,0600000US1806151030,,,258,682,2.64341085271318,0.467532467532468,212.567164179104,410.955468045405,0,0,150,0.27363184079602,1,0,0,0,1,0.666666666666667,8.90476190476191,3.32431367178412,7,8,10,1829.20930232558,1053.41866316909,1200,1800,2000
IN,muni,0600000US1806161344,,,118,296,2.50847457627119,0.61,240.506329113924,457.518778468968,0,0,295.5,0.146067415730337,1,0,0,0,1,0.627118644067797,8.38636363636364,4.87144460256465,5,7,10,869.594594594595,657.260689693942,277.5,725,1200
IN,muni,0600000US1806133268,,,16,40,2.5,0.875,342.933333333333,738.904929769788,0,0,150,0.266666666666667,1,0,0,0,1,0.625,5,0,5,5,5,154,59.6657355607052,85,200,200
IN,muni,0600000US1806311386,,,2082,5099,2.44908741594621,0.568714376187461,406.861305361305,700.273522983447,0,0,624,0.349327091866589,0.999039385206532,0.000960614793467819,0,0,1,0.550810014727541,18.1898454746137,8.34539914125887,12,16,23.75,74733.1229946524,841473.847947674,2000,3000,4800
IN,muni,0600000US1806313078,,,160,395,2.46875,0.281045751633987,285.267175572519,483.515345781886,0,0,400,0.206106870229008,1,0,0,0,1,0.525,9.96610169491525,3.23219847085495,8,10,12,1527.5,966.564996038169,700,1300,2125
IN,muni,0600000US1806330204,,,1705,4093,2.40058651026393,0.621843434343434,445.575144508671,715.975294245782,0,0,765,0.200434153400868,0.96950146627566,0.0304985337243402,0,0,1,0.54356846473029,28.7061923583663,155.240809962133,10,18,25,13964.5398037077,330135.457814197,1500,2700,4000
IN,muni,0600000US1806380702,,,46,113,2.45652173913043,0.543478260869565,482.636363636364,669.512780786419,0,0,936,0.0909090909090909,0.260869565217391,0.739130434782609,0,0,1,0.521739130434783,22.7727272727273,9.37032711825101,15,25,30,2079.16666666667,845.437456441116,1500,2500,2500
IN,muni,0600000US1806343290,,,502,1177,2.34462151394422,0.515991471215352,240.813602015113,496.829585356212,0,0,200,0.307304785894207,1,0,0,0,1,0.573705179282869,10.0233644859813,4.5876355451033,6,10,12,106219.013888889,1016848.43625484,1000,1750,2850
IN,muni,0600000US1806343794,,,732,1834,2.50546448087432,0.564777327935223,435.765112262522,639.918433999009,0,0,840,0.586206896551724,1,0,0,0,1,0.53013698630137,14.8567164179104,6.00875668091812,10,15,20,2859.81912144703,1673.86578050213,1500,3000,4000
IN,muni,0600000US1806377318,,,199,426,2.14070351758794,0.518716577540107,227.024844720497,496.849825781274,0,0,150,0.234567901234568,1,0,0,0,1,0.592964824120603,9.3,4.60709414443597,6,8,10,2631.18644067797,2792.60873335173,1000,1600,3000
IN,muni,0600000US1806518838,,,6,9,1.5,1,33.3333333333333,57.7350269189626,0,0,50,0.333333333333333,1,0,0,0,1,,,,,,,,,,,
IN,muni,0600000US1806522630,,,1704,4505,2.643779342723,0.444239063462723,280.72052663076,567.170968999129,0,0,180,0.147727272727273,1,0,0,0,1,0.674295774647887,30.9090909090909,85.5781825119369,10,15,20,80331.3420365535,881770.131109913,1200,2000,2700
IN,muni,0600000US1806529700,,,514,1346,2.61867704280156,0.622641509433962,314.761394101877,521.071228501675,0,0,580,0.346354166666667,0.996108949416342,0.00389105058365759,0,0,1,0.692007797270955,10.3092105263158,4.29882711962132,8,10,12,57704.214084507,749423.579289017,500,1000,1725
IN,muni,0600000US1806533124,,,16470,43996,2.67128111718276,0.637709180612041,481.072722820764,696.405816193411,0,0,960,0.22426886411375,0.982088646023072,0.0179113539769277,0,0,1,0.518787804729028,29.1634271099744,167.964065342771,15,20,25,82992.7274761512,891104.288846401,1650,2500,3500
IN,muni,0600000US1806561560,,,90,201,2.23333333333333,0.738095238095238,672.68,952.321376597378,0,270,1043.5,0.306666666666667,1,0,0,0,1,0.355555555555556,19.051724137931,7.98995512754039,12,17,25,7890.625,4954.20052304917,4000,5250,13000
IN,muni,0600000US1806537998,,,221,581,2.6289592760181,0.475728155339806,626.302325581395,554.511614894902,0,602.5,1043.5,0.269230769230769,1,0,0,0,1,0.692307692307692,12.6212121212121,6.7019288877047,10,10,13,1985.62091503268,1402.05292624092,1200,1600,2500
IN,muni,0600000US1806572026,,,569,1417,2.49033391915641,0.966480446927374,311.226544622426,550.275399298918,0,0,500,0.301801801801802,0.984182776801406,0.015817223198594,0,0,1,0.601054481546573,16,11.0249114539016,10,14,18,177814.669590643,1314468.18365183,1500,2225,3000
IN,muni,0600000US1806581728,,,2223,5593,2.51596941070625,0.574281539210911,347.730254350736,585.053621744605,0,0,572,0.341705913134485,0.985155195681511,0.0148448043184885,0,0,1,0.534873188405797,13.5426587301587,5.53710653977091,10,13,15,146177.845893311,1191343.14146036,1200,2000,3300
IN,muni,0600000US1806711422,,,25522,70721,2.77098189797038,0.699436741767764,581.810800580405,793.227363334527,0,200,1000,0.174872177859482,0.967204764516887,0.0325993260716245,0.000117545646892877,7.83637645952512e-05,1,0.500256744479994,25.4147165259349,126.011834092117,12,17,25,133344.91654165,1137114.36019245,1000,1800,3000
IN,muni,0600000US1806734906,,,30,82,2.73333333333333,0.76,431.235294117647,612.33901245672,0,0,920,0.142857142857143,1,0,0,0,1,0.266666666666667,17.2272727272727,2.36908296869361,15,16.5,20,1312.5,405.101398241407,1000,1050,1800
IN,muni,0600000US1806721430,,,51,155,3.03921568627451,0.638297872340426,1101.77777777778,1172.31212243937,365,750,1460,0.1,1,0,0,0,1,0.450980392156863,21,9.62140470884728,11,20,30,1170.86956521739,863.117568329422,80,1500,1500
IN,muni,0600000US1806731846,,,10,20,2,1,237.5,440.5759217855,0,0,225,0.444444444444444,1,0,0,0,1,0.1,30.5555555555556,14.8838092495765,15,40,45,5000,,5000,5000,5000
IN,muni,0600000US1806713096,,,4,10,2.5,1,655.5,636.826245271555,172.5,661,1144,0,1,0,0,0,1,0,20,0,20,20,20,,,,,
IN,muni,0600000US1806743326,,,1023,2528,2.47116324535679,0.61546499477534,246.980511571255,502.381088573528,0,0,0,0.193195625759417,1,0,0,0,1,0.622678396871945,10.6373056994819,4.18383493936025,8,10,12,48163.9701726845,685110.151153425,850,1000,1200
IN,muni,0600000US1806916678,,,931,2424,2.60365198711063,0.609447004608295,613.055900621118,540.484238270328,162.5,600,890,0.255014326647564,1,0,0,0,1,0.658405172413793,7.66561514195584,2.76079882326743,6,7,9,17257.8936170213,404521.188189234,500,600,1000
IN,muni,0600000US1806935311,,,13908,36941,2.65609721023871,0.580912162162162,443.841105186621,732.204398397547,0,0,732.5,0.189176381385651,1,0,0,0,1,0.529433008306248,35.963067735345,229.965139684523,10,13,19,182410.350886767,1329584.65942925,1000,1900,3000
IN,muni,0600000US1806980126,,,5,15,3,1,150,212.132034355964,75,150,225,0,1,0,0,0,1,0,6,0,6,6,6,,,,,
IN,muni,0600000US1806937116,,,700,1764,2.52,0.581761006289308,509.244552058111,720.928851202207,0,0,998,0.247030878859857,1,0,0,0,1,0.664285714285714,16.5818965517241,37.2873737647875,8,11,15,173637.12688172,1301509.088391,1000,1500,2000
IN,muni,0600000US1818381152,,,74,212,2.86486486486487,0.593220338983051,524.363636363636,638.568409519578,0,300,800,0.292682926829268,1,0,0,0,1,0.432432432432432,12.1666666666667,4.76223285745436,10,10,15,1750.625,1080.83282554435,732.5,2250,2800
IN,muni,0600000US1817977714,,,495,1208,2.44040404040404,0.503311258278146,716.971223021583,568.134258250432,260,616,1040,0.25065274151436,1,0,0,0,1,0.692307692307692,124.506578947368,383.243252628024,8,10,13,176615.271929825,1314628.43351891,500,950,1750
IN,muni,0600000US1806967320,,,1357,3125,2.30287398673545,0.572593800978793,223.865916069601,454.476628187471,0,0,272,0.29405737704918,1,0,0,0,1,0.635245901639344,23.7730337078652,169.675060920008,5,8,10,169032.772903226,1284904.85980607,450,900,1600
IN,muni,0600000US1807108488,,,1711,4667,2.72764465225015,0.522446324007808,240.37962962963,523.910569767098,0,0,235.5,0.309578544061303,1,0,0,0,1,0.612788632326821,42.3348837209302,218.006366598569,7,10,15,89033.6879227053,928697.691212593,900,2000,2800
IN,muni,0600000US1807110450,,,681,1892,2.77826725403818,0.518151815181518,213.492662473795,412.446709632146,0,0,195,0.290794979079498,1,0,0,0,1,0.54625550660793,7.19741100323625,3.14836482440344,5,7,8,1348.14516129032,1003.32334582815,650,1000,1800
IN,muni,0600000US1807137134,,,8537,22085,2.58697434696029,0.614128905150577,440.30447257384,695.746297138318,0,30,687,0.210604485370563,0.988403420405295,0.0115965795947054,0,0,1,0.526526291024585,32.2317714858432,229.218681968229,10,14,20,49551.6260053619,683248.32565409,1500,2250,3500
IN,muni,0600000US1807163414,,,40,166,4.15,0.575757575757576,301.035714285714,564.876615970108,0,0,375,0.178571428571429,1,0,0,0,1,0.575,17.8823529411765,6.46995317739217,10,20,25,4234.78260869565,1381.89879107506,4100,5000,5000
IN,muni,0600000US1807178884,,,1108,2960,2.67148014440433,0.496031746031746,238.863237139272,411.851851219373,0,0,375,0.184782608695652,1,0,0,0,1,0.56,9.12190082644628,6.05663536876245,6,8,10,82321.4448051948,897898.775614385,600,1000,1500
IN,muni,0600000US1807310396,,,253,572,2.26086956521739,0.495798319327731,254.411483253589,680.698992454844,0,0,98,0.639423076923077,1,0,0,0,1,0.74703557312253,77.7222222222222,340.960043952847,10,10,15,319753.375661376,1757472.46475717,1200,2500,3500
IN,muni,0600000US1807346944,,,3148,8115,2.57782719186785,0.627770083102493,297.500203004466,565.234299977271,0,0,409.5,0.336750788643533,1,0,0,0,1,0.508144362823379,56.8219086021505,271.242759727567,15,18,25,486579.255813954,2146128.49397136,1500,2500,4000
IN,muni,0600000US1807731234,,,351,930,2.64957264957265,0.487804878048781,270.273037542662,533.043870296758,0,0,255,0.448979591836735,0.988603988603989,0.0113960113960114,0,0,1,0.651428571428571,12.0983606557377,6.90718853721883,6,10,18.75,177881.149122807,1315424.3681738,1500,2000,3100
IN,muni,0600000US1807746008,,,6891,18061,2.62095486866928,0.588172615876399,276.718429704119,527.63883998532,0,0,400,0.21807720861173,0.962704977506893,0.037295022493107,0,0,1,0.474452554744526,34.1540632054176,273.165390335997,7,9,14,88176.8138461539,924139.852861628,700,1500,2800
IN,muni,0600000US1807750346,,,16,40,2.5,0.625,291.111111111111,495.263678368514,0,0,480,0.222222222222222,1,0,0,0,1,0.1875,8,3.65148371670111,7,7,12,966.666666666667,57.7350269189626,950,1000,1000
IN,muni,0600000US1807749824,,,29,63,2.17241379310345,0.111111111111111,494.666666666667,678.600127713909,0,0,936,0,1,0,0,0,1,0.896551724137931,8,0,8,8,8,1155593.23076923,3257481.88737203,1100,2500,3000
IN,muni,0600000US1807911458,,,2977,8121,2.72791400738999,0.630504833512352,384.569252077562,679.510667949977,0,0,500,0.224908759124088,0.973799126637555,0.0262008733624454,0,0,1,0.547354229861813,25.1597588545592,140.636530044825,8,10,15,180794.98953202,1324429.85087429,1200,1950,3000
IN,muni,0600000US1807978920,,,293,746,2.54607508532423,0.853383458646617,198.558035714286,422.081757565601,0,0,200,0.36,0.993174061433447,0.0068259385665529,0,0,1,0.535836177474403,7.5037037037037,3.75931494647326,6,7,8,765389.687898089,2665094.790714,500,1000,1600
IN,muni,0600000US1808106094,,,1509,4076,2.70112657388999,0.464069845533915,602.209726443769,646.654795656411,200,450,795,0.172897196261682,0.987408880053015,0.0125911199469848,0,0,1,0.553346587143804,13.8924242424242,40.1977539992917,7,10,12,181177.841916168,1328796.70473465,700,1200,1800
IN,muni,0600000US1814537404,,,853,2146,2.5158264947245,0.53405017921147,557.763231197772,686.053544652538,136.5,382,722.5,0.180300500834725,0.996483001172333,0.00351699882766706,0,0,1,0.504112808460635,9.37931034482759,8.39276381542296,6,8,10,817119.580419581,2740132.38334682,600,1200,2000
IN,muni,0600000US1808125468,,,5595,14468,2.58588025022341,0.594312246082414,340.365357967667,611.434792081182,0,0,500,0.327247515599723,0.959428060768543,0.0405719392314567,0,0,1,0.508812949640288,47.980399408284,247.032162618154,10,15,20,122516.650053022,1089612.33019378,1200,2000,3200
IN,muni,0600000US1808152164,,,34,88,2.58823529411765,0.59375,119.375,275.873917720144,0,0,35,0.36,1,0,0,0,1,0.705882352941177,12.2,5.67254596964871,6,13,18,4837.5,2009.2855100432,3450,4500,5750
IN,muni,0600000US1808160390,,,1875,4680,2.496,0.560579710144928,450.610398379473,688.162525095529,0,50,800,0.276280323450135,0.998933333333333,0.00106666666666667,0,0,1,0.517407605784681,51.1002252252252,448.216133642768,11,15,20,12932.3633540373,321673.525306228,1200,2000,3200
IN,muni,0600000US1808183924,,,329,851,2.58662613981763,0.548387096774194,229.348659003831,489.557599628444,0,0,189,0.381679389312977,1,0,0,0,1,0.604863221884498,13.3565891472868,10.9578727760088,10,10,14,152302.130653266,1221409.39561641,1050,1500,2000
IN,muni,0600000US1808309514,,,539,1432,2.65677179962894,0.484276729559749,207.010178117048,462.273518621379,0,0,234,0.286407766990291,1,0,0,0,1,0.62152133580705,20.0820512820513,125.550349024208,5,7,10,1439.44179104478,1301.90980929621,500,1000,2000
IN,muni,0600000US1808331864,,,2,3,1.5,0.5,400,565.685424949238,200,400,600,0.5,1,0,0,0,1,1,,,,,,1100,0,1100,1100,1100
IN,muni,0600000US1808317128,,,1,1,1,0,400,,400,400,400,0,1,0,0,0,1,,,,,,,,,,,
IN,muni,0600000US1808372908,,,2,3,1.5,1,100,141.42135623731,50,100,150,0,1,0,0,0,1,1,,,,,,50,0,50,50,50
IN,muni,0600000US1808379118,,,4697,11911,2.53587396210347,0.583046175051689,300.349640685462,508.3851448897,0,0,500,0.287139689578714,1,0,0,0,1,0.566316691664881,21.3601990049751,103.212576010147,6,8,10,27556.2198259554,513998.543066674,400,600,1500
IN,muni,0600000US1808384158,,,5,9,1.8,0.6,520,876.976624545945,0,0,576,0.2,1,0,0,0,1,0.4,10,0,10,10,10,1800,0,1800,1800,1800
IN,muni,0600000US1808380738,,,387,1090,2.81653746770026,0.533519553072626,294.106007067138,574.671009243112,0,0,465,0.200704225352113,1,0,0,0,1,0.576227390180879,14.0853658536585,54.2647907449136,6,8,9,744.529147982063,553.529524919294,435,500,1000
IN,muni,0600000US1808379217,,,17815,49521,2.77973617737861,0.664566165777993,401.794498893456,700.361959767605,0,0,604,0.206577515160939,0.991018804378333,0.00898119562166714,0,0,1,0.448511413445665,58.0932827963782,377.229040937008,10,14,24,306933.009138216,1718211.19514362,1000,1800,3500
IN,muni,0600000US1808513114,,,367,958,2.61035422343324,0.5,621.390243902439,602.465557605379,98.5,473,940.5,0.452554744525548,1,0,0,0,1,0.572207084468665,8.35668789808917,4.55312338394249,7,8,9,1259.38095238095,874.502235789596,600,1000,2000
IN,muni,0600000US1808525486,,,248,608,2.45161290322581,0.71551724137931,263.84328358209,467.601331617533,0,0,349.5,0.271676300578035,1,0,0,0,1,0.681451612903226,102.53164556962,364.191758289821,8,10,12,415303.822485207,1998290.06248193,500,1000,1800
IN,muni,0600000US1808531882,,,19,38,2,0.470588235294118,185.133333333333,390.032025547109,0,0,119.5,0.294117647058824,1,0,0,0,1,0.68421052631579,1006.4,1363.46426429151,10,12,2500,3269.23076923077,1072.67936758429,3000,4000,4000
IN,muni,0600000US1808580756,,,1013,2527,2.49457058242843,0.575357535753575,256.100755667506,468.782033712723,0,0,357.5,0.325786163522013,1,0,0,0,1,0.557312252964427,20.5865168539326,122.049335755406,6,8,12,54208.3138297872,727954.196128939,400,900,1500
IN,muni,0600000US1808575842,,,320,720,2.25,0.582236842105263,414.736842105263,486.507091336041,0,150,840,0.545816733067729,1,0,0,0,1,0.715625,163.25,592.334647253856,7,8,15,263740.64628821,1600536.9000624,1000,1800,3000
IN,muni,0600000US1808576760,,,1061,2805,2.64373232799246,0.609326424870466,250.605011933174,437.906298464985,0,0,406,0.237187127532777,1,0,0,0,1,0.623939679547597,10.9122807017544,6.71941793972117,7,10,12,16810.0120845921,388597.944165818,600,1400,2500
IN,muni,0600000US1808578488,,,816,2100,2.57352941176471,0.491108071135431,294.217741935484,505.867577359578,0,9,474,0.286407766990291,1,0,0,0,1,0.65970515970516,10.996,4.31444570797551,8,10,14.75,169265.450651769,1284680.76740788,750,1200,2200
IN,muni,0600000US1808581782,,,4932,12697,2.57441200324412,0.652659225213395,434.20322147651,739.158155273513,0,0,750,0.322617033276932,0.994525547445255,0.00547445255474453,0,0,1,0.473619881849664,20.2762430939227,78.1122837384661,12,15,22,191820.010752688,1362529.34243981,1400,2500,3500
IN,muni,0600000US1808909820,,,69891,209365,2.99559313788614,0.636652869586705,604.132454571133,863.924273200577,0,0,1200,0.120943675982057,0.826086334435049,0.173699045656808,0.00010015595713325,0.000114463951009429,1,0.493174851061369,48.921498661909,300.254788392243,18,25,35,65935.7005512227,783809.19986589,2200,3500,5000
IN,muni,0600000US1808911026,,,1399,3694,2.64045746962116,0.581467181467182,295.413698630137,554.940751152161,0,0,400,0.305936073059361,1,0,0,0,1,0.566308243727599,17.61,6.56147760141391,12,15,22,2850.90886075949,2442.59886981702,1300,2500,3500
IN,muni,0600000US1808911476,,,4289,11327,2.64094194450921,0.561278863232682,446.56576911173,751.388120115559,0,0,780,0.22970052485335,0.987409652599674,0.0118908836558638,0,0.000699463744462579,1,0.6030089784033,26.9154929577465,76.2324889006508,15,23,30,11843.3102615694,283539.26218654,2000,3500,5000
IN,muni,0600000US1808934132,,,7535,20790,2.75912408759124,0.609584007055711,614.850155137799,882.058030672461,0,0,1300,0.138359121986326,0.99721300597213,0.00278699402786994,0,0,1,0.660058541777541,33.0979076194236,169.320106505944,15,23,30,25742.1937109454,470244.378831348,2000,3500,5000
IN,muni,0600000US1812777570,,,32,76,2.375,0.5,520.208333333333,768.140724152449,0,0,1200,0.68,1,0,0,0,1,0.3125,25.1363636363636,8.48132657270668,17,30,30,4300,483.045891539648,4000,4000,4750
IN,muni,0600000US1808954414,,,113628,334522,2.94401027915655,0.571454555898064,597.93186466429,857.210046582015,0,0,1200,0.155344960927129,0.942839793008765,0.0569225895025874,5.28038863660365e-05,0.000184813602281128,1,0.448803681533013,44.5771765522026,274.065095564951,18,25,32,87647.8273085935,910760.890172534,2400,3500,5000
IN,muni,0600000US1808966870,,,1484,4747,3.19878706199461,0.573919636087945,442.504780114723,719.051280505269,0,0,750.75,0.240816326530612,1,0,0,0,1,0.682186234817814,19.7876857749469,9.99263224085889,15,18,25,2902.81404549951,1943.19580069589,1500,2500,4000
IN,muni,0600000US1808982574,,,259,786,3.03474903474904,0.591111111111111,318.165714285714,568.32058600134,0,0,462.5,0.363636363636364,1,0,0,0,1,0.455598455598456,9.45390070921986,3.34978715167091,7,10,11,1216.18644067797,747.333630105302,600,1000,1475
IN,muni,0600000US1809111494,,,12975,34997,2.69726396917148,0.516971713810316,523.19720822838,747.456314443348,0,34.5,952.5,0.213338772180298,0.994836223506744,0.00500963391136802,0,0.000154142581888247,1,0.53429883983493,35.633589087809,186.223118125116,15,22,30,98000.7439522005,968397.528411077,2000,3000,4000
IN,muni,0600000US1809168346,,,6,21,3.5,1,324,458.205194208883,162,324,486,0,1,0,0,0,1,0,5,0,5,5,5,,,,,
IN,muni,0600000US1809139186,,,49,158,3.22448979591837,0.6,373.617647058824,525.723571488419,0,0,636.75,0.176470588235294,1,0,0,0,1,0.938775510204082,18,0,18,18,18,1773.69565217391,1546.50769110514,850,1100,2000
IN,muni,0600000US1809160408,,,3,6,2,1,1118,1581.09076273312,559,1118,1677,0,1,0,0,0,1,0,40,0,40,40,40,,,,,
IN,muni,0600000US1809154090,,,32,87,2.71875,0.481481481481482,430.3,644.951413918746,0,0,803.5,0.3,1,0,0,0,1,0.75,26.5,4.37525509460387,24.5,28,30,2825,755.415232778002,2375,2400,3250
IN,muni,0600000US1809148780,,,17521,48135,2.74727469893271,0.504973412574288,517.443026941363,707.840361590901,0,130,900,0.188224313603484,0.989498316306147,0.0105016836938531,0,0,1,0.537357315807679,36.7203486169003,232.053769309861,15,20,26,48142.1970818582,669581.848114416,2000,2500,4000
IN,muni,0600000US1812759922,,,103,270,2.62135922330097,0.535353535353535,680.746666666667,942.423143232858,0,0,1337.5,0.151898734177215,1,0,0,0,1,0.650485436893204,31.4166666666667,7.95837384681785,26,32,35,4752.23880597015,3700.62886584344,2900,3500,5000
IN,muni,0600000US1809115040,,,98,254,2.59183673469388,0.384615384615385,515.53164556962,585.316522642259,0,385,905,0.15,1,0,0,0,1,0.571428571428571,19.6666666666667,5.26222927195016,15,20,25,2862.94642857143,1011.13562474249,2000,3000,3200
IN,muni,0600000US1809117974,,,2,3,1.5,1,882.5,731.855518528077,623.75,882.5,1141.25,0,1,0,0,0,1,0,20,0,20,20,20,,,,,
IN,muni,0600000US1809152830,,,525,1307,2.48952380952381,0.667364016736402,380.436507936508,634.055995352055,0,0,600,0.249406175771972,1,0,0,0,1,0.53757225433526,83.5291666666667,310.187821329908,10,15,20,253266.544802867,1566402.99270295,1100,2000,3500
IN,muni,0600000US1809346980,,,3343,8632,2.58211187556087,0.737144682210157,360.337602459016,556.970467576995,0,0,528,0.166040884438882,0.985342506730482,0.0146574932695184,0,0,1,0.470606060606061,8.97855866587254,5.3359837289077,6,8,10,361951.540244688,1864713.79733049,450,1000,2000
IN,muni,0600000US1809369102,,,13634,36460,2.6741968607892,0.63614573346117,341.801553062985,605.31944208171,0,0,500,0.192940501243543,0.996039313481003,0.00396068651899663,0,0,1,0.393159873221788,12.8198704631553,18.4356435061681,7,10,15,45264.1987251594,655160.856751807,1000,1600,2800
IN,muni,0600000US1809347304,,,26,56,2.15384615384615,1,258,490.534762214847,0,0,183.75,0.166666666666667,1,0,0,0,1,0.153846153846154,10.2272727272727,4.31974225622006,8,9,11.25,1100,0,1100,1100,1100
IN,muni,0600000US1809500406,,,85,205,2.41176470588235,0.480519480519481,230.446153846154,465.642869817136,0,0,175,0.323076923076923,1,0,0,0,1,0.811764705882353,5.75,1.39044357430761,5,5,7,1938.04347826087,1332.27890158602,1000,1500,3200
IN,muni,0600000US1809501486,,,30307,79054,2.60844029432144,0.672872722054814,622.579297376628,825.746308393545,0,170,1125.25,0.163351964989818,0.97122776916224,0.0287722308377603,0,0,1,0.490490623855045,36.2000398750582,246.39322222306,15,20,26,148768.99320929,1196325.98036171,2000,3000,4200
