state,neigh,AFFGEOID,AFFGEOID.a,AFFGEOID.b,n_obs,sum_pernum,mean_pernum,p_move,mean_inc,sd_inc,q1_inc,q2_inc,q3_inc,mean_inc_nwage,mean_i_white,mean_i_black,mean_i_native,mean_i_asian,mean_i_hispanic,p_ownership,mean_rent,sd_rent,q1_rent,q2_rent,q3_rent,mean_valueh,sd_valueh,q1_valueh,q2_valueh,q3_valueh
SD,muni,0600000US4608709340,,,529,1321,2.49716446124764,0.619144602851324,270.646288209607,417.937628338652,0,0,480,0.791563275434243,0.996219281663516,0,0.00378071833648393,0,1,0.52930056710775,9.77155172413793,5.034466591287,6,10,12,287248.692857143,1668705.61308673,900,1500,3000
SD,muni,0600000US4608743540,,,7,10,1.42857142857143,0.428571428571429,388.333333333333,460.88682631061,0,300,622.5,0.166666666666667,1,0,0,0,1,0.25,14,0,14,14,14,600,,600,600,600
SD,muni,0600000US4608704820,,,8,11,1.375,0.75,454,278.531865322444,400,550,600,0,1,0,0,0,1,1,,,,,,9999998,,9999998,9999998,9999998
SD,muni,0500000US46093,,,1456,4929,3.3853021978022,0.891969407265774,328.681425485961,616.135119456428,0,0,504,0.32615083251714,1,0,0,0,1,0.460084033613445,75.3209509658247,578.980650165237,9,12,16,229474.497716895,1494606.62647502,300,600,1500
SD,muni,1600000US4662100,,,1880,5048,2.68510638297872,0.822446555819477,253.159013022618,505.862452710615,0,0,305.5,0.418387741505663,1,0,0,0,1,0.476570820021299,65.4873949579832,323.105507746965,12,15,20,516187.036871509,2208772.11565675,1000,2000,3500
SD,muni,1600000US4615980,,,1704,5583,3.27640845070423,0.999368288060644,188.973925299507,401.009616213443,0,0,200,0.170302603800141,1,0,0,0,1,0.444576877234803,23.023178807947,124.920927534911,10,12,15,605076.209115282,2381945.13848213,1000,2000,3000
SD,muni,0600000US4609948220,,,43,146,3.3953488372093,0.219512195121951,382.216216216216,849.656601716741,0,0,450,0.333333333333333,1,0,0,0,1,0.627906976744186,15.0625,4.4191816738698,12,15,20,1901.85185185185,1041.67777771852,900,1900,3000
SD,muni,1600000US4659020,,,29134,81731,2.80534770371387,0.67837582625118,524.586539348649,868.214607435769,0,0,919.75,0.205733558178752,0.996670556737832,0.00212809775520011,0.000652158989496808,0.000549186517470996,1,0.454504473264443,34.9837802485285,173.129469088158,18,25,32,276692.560769055,1629427.21511747,2000,3000,5000
SD,muni,0600000US4601118740,,,80,163,2.0375,0.540540540540541,137.241935483871,334.734427911112,0,0,18,0.819672131147541,1,0,0,0,1,0.575,7.6,2.25296739190018,6,7,8,1273.91304347826,1554.06631956422,500,700,1500
SD,muni,0600000US4610335280,,,13,31,2.38461538461538,0.846153846153846,174.230769230769,461.662963976636,0,0,0,0.769230769230769,1,0,0,0,1,0.230769230769231,15.6,5.71936282387392,10,20,20,1416.66666666667,1010.36297108185,1125,2000,2000
