cbdname,region_all,WRLURI_metro2,Tot_FrcDev50_01,Tot_FrcUnavail50_01,numtracts,region_gamma101a_units_IV,region_gamma201a_units_IV,region_gamma101a_space_IV,region_gamma201a_space_IV
Janesville,3620,-0.27437758445739746,0.03639798238873482,0.08032819628715515,36,0.4667701721191406,0.5066397786140442,0.5601698160171509,0.588161289691925
Jersey City,34002,0.3710774779319763,0.21714730560779572,0.17977161705493927,3483,-0.06808463484048843,0.007732468191534281,0.0516737699508667,0.1167331412434578
Johnstown,3680,0.4032513201236725,0.019611433148384094,0.4825618863105774,48,0.5480876564979553,0.5791832804679871,0.581580638885498,0.6057389974594116
"Joplin,MO",3710,-1.3735105991363525,0.017962193116545677,0.06798215210437775,32,0.5914027690887451,0.6085165143013,0.6425783634185791,0.6555812358856201
Kalamazoo,3720,-0.6964071393013,0.03008422628045082,0.15539899468421936,60,0.4949803948402405,0.51591956615448,0.5695972442626953,0.5893215537071228
"Kankakee,IL",3740,0.0011251340620219707,0.03963232785463333,0.0280282162129879,26,0.6844649910926819,0.7135440707206726,0.7718216180801392,0.7978914976119995
Kansas City,3760,-0.7091997265815735,0.08321966975927353,0.09389416873455048,499,0.35596388578414917,0.3872164189815521,0.4073638916015625,0.4330666959285736
Killeen,3810,-1.0044735670089722,0.017247388139367104,0.03586896136403084,58,0.4319398105144501,0.47777411341667175,0.49894294142723083,0.5320019125938416
Kingsport,3660,-0.9859498739242554,0.024735424667596817,0.6612402200698853,105,0.5242663621902466,0.5519654154777527,0.5687438249588013,0.5890331864356995
Knoxville,3840,-0.02764316089451313,0.03991490975022316,0.5808954238891602,102,0.3825506269931793,0.40953341126441956,0.43728724122047424,0.458819717168808
Kokomo,3850,-0.9559682607650757,0.020828459411859512,0.011068266816437244,20,0.612250030040741,0.6342895030975342,0.7112566232681274,0.7294984459877014
La Crosse,3870,0.4971797466278076,0.015402351506054401,0.4988116919994354,25,0.35321977734565735,0.38069701194763184,0.4450263977050781,0.4658563733100891
Lafayette,3880,0,0.028325967490673065,0.3191274106502533,41,0.6676027774810791,0.6746237874031067,0.7685117125511169,0.7746737599372864
Lafayette,3920,-1.5558534860610962,0.018830813467502594,0.008577949367463589,37,0.41049349308013916,0.4550378620624542,0.4901483356952667,0.5316824913024902
Lake Charles,3960,-1.0366175174713135,0.021545730531215668,0.49926647543907166,41,0.6691127419471741,0.6844191551208496,0.766273558139801,0.7787760496139526
Lakeland,3980,0.2584477365016937,0.05257141590118408,0.3723791539669037,110,0.7058231234550476,0.7275335788726807,0.7814387679100037,0.8007411360740662
Lancaster,4000,0.2831994891166687,0.05361810699105263,0.2537050247192383,94,0.371938019990921,0.4214358329772949,0.43904227018356323,0.47709229588508606
Lansing,4040,0.1310899555683136,0.031538307666778564,0.12910941243171692,117,0.5902632474899292,0.6165235042572021,0.6814815402030945,0.7032842040061951
Laredo,4080,0,0.01585354655981064,0.02278091572225094,32,0.22537629306316376,0.26766830682754517,0.3153892755508423,0.35331758856773376
Las Cruces,4100,0,0.0061286925338208675,0.14819753170013428,32,0.5937955379486084,0.6490615606307983,0.6553323864936829,0.7042301893234253
Las Vegas,4120,-0.6305338144302368,0.03239881247282028,0.42202726006507874,345,0.1771651804447174,0.22734113037586212,0.26638132333755493,0.30964359641075134
Lawrence,4160,2.55025315284729,0.12165378779172897,0.1831207126379013,103,0.12076916545629501,0.19903050363063812,0.22243273258209229,0.2830846607685089
"Lawrence,KS",4150,-0.5781117081642151,0.0448177270591259,0.08978068083524704,22,0.4572865664958954,0.4713935852050781,0.5052233934402466,0.5184898972511292
Lawton,4200,0,0.012330585159361362,0.048178933560848236,29,0.48039188981056213,0.5086991190910339,0.5621309280395508,0.585262656211853
Lewiston,4240,1.0395439863204956,0.023805754259228706,0.30095404386520386,29,0.44431644678115845,0.5120254158973694,0.49258166551589966,0.546565592288971
Lexington-Fayette,4280,0.23425601422786713,0.025593796744942665,0.3240768313407898,69,0.3346426486968994,0.355222225189209,0.39051011204719543,0.4073619842529297
Lima,4320,-0.9404061436653137,0.021538978442549706,0.015746189281344414,34,0.63924640417099,0.6752623915672302,0.7217087149620056,0.7560185194015503
Lincoln,4360,0.7611753940582275,0.019614987075328827,0.025643274188041687,59,0.26334401965141296,0.27912211418151855,0.33427441120147705,0.3485041558742523
Little Rock,4400,-0.8334928154945374,0.03188822418451309,0.1817636489868164,152,0.5340608358383179,0.5710592865943909,0.5863669514656067,0.619543731212616
Long Branch,34003,1.4965707063674927,0.12175515294075012,0.0875433012843132,229,0.3873448967933655,0.4249204993247986,0.5002509355545044,0.5248838663101196
Longview,4420,-1.103275179862976,0.028938312083482742,0.1449648141860962,51,0.513411819934845,0.53388911485672,0.5600177645683289,0.5775930285453796
"Longview,WA",4415,0,0.018994111567735672,0.6710006594657898,23,0.4830133318901062,0.5048027634620667,0.5502644181251526,0.564907968044281
Los Angeles,4480,0.5421745181083679,0.24312230944633484,0.3427847921848297,3402,0.18126332759857178,0.23504291474819183,0.272756963968277,0.31664392352104187
