tract_fips,gamma01a_units_IV,gamma11a_units_IV,gamma01a_space_IV,pctdis,pop_tot,n_units,land_area_m2,n_cbg,med_hh_inc,p_white,p_black,p_asian,pop_density,unit_density,log_pop_density,log_unit_density,log_units,log_land_area,log_inc,near_dart_05mi,near_dart_1mi,dist_station_m,restrictiveness
48113018402,0.320069372653961,0.298190802335739,0.368096083402634,0.16372749209404,4364,1412,2432764,3,66768.3006416132,0.750229147571035,0.0705774518790099,0.0167277726856095,0.00179384436796993,0.000580409772587888,-6.32339427051895,-7.45177619941872,7.25276241805319,14.7045386174719,11.1089837056012,0,0,5004.57544736059,-0.320069372653961
48113018403,-0.106928698718548,-0.129239082336426,0.0384604148566723,0.149032592773438,1569,591,836038,1,43977,0.543658381134481,0.235181644359465,0,0.00187670895342078,0.000706905666967291,-6.27823559284623,-7.25461332817317,6.3818160174061,13.6364293455793,10.6914220489581,0,0,5879.84796006774,0.106928698718548
48113018501,0.161208316683769,0.115552075207233,0.288834750652313,0.157888129353523,4847,1313,8919136,3,59684.5923251496,0.668867340623066,0.0534351145038167,0.0187744996905302,0.000543438288192937,0.000147211568474794,-7.51759440303294,-8.82363976457552,7.1800698743028,16.0037096388783,10.9968291810652,0,0,2240.97667410344,-0.161208316683769
48113018600,0.410766780376434,0.388809055089951,0.485584110021591,0.172052532434464,3753,1404,2531337,3,71502.069810818,0.800159872102318,0.0700772715161205,0.00399680255795364,0.00148261570861564,0.000554647603223119,-6.51394738048169,-7.49717759503095,7.24708058458576,14.7442581796167,11.1774816766662,0,0,2206.55749416305,-0.410766780376434
48113018700,0.444338411092758,0.419997692108154,0.504033029079437,0.182685509324074,7040,2056,2673755,5,47342.1758522727,0.680539772727273,0.0325284090909091,0,0.00263300115380803,0.000768956018782574,-5.93963096025764,-7.17047678283467,7.62851762657506,14.7989944094097,10.7651568442482,0,0,1677.27141251442,-0.444338411092758
48113018801,0.33236226439476,0.266130119562149,0.450912773609161,0.201168194413185,5121,1541,3409121,4,61686.0956844366,0.684827182190978,0.0681507518062879,0.0494044132005468,0.00150214674105143,0.000452022676813173,-6.50086003330743,-7.70177820944987,7.34018683532012,15.04196504477,11.0298138309228,0,1,956.925495838435,-0.33236226439476
48113018802,0.0775066837668419,0.0486249849200249,0.207165896892548,0.189624145627022,1375,721,1724649,2,46377,0.743272727272727,0.144,0.0334545454545455,0.000797263675101427,0.000418056079816821,-7.13432509938155,-7.77989497219727,6.58063913728495,14.3605341094822,10.7445589256644,1,1,609.152439497218,-0.0775066837668419
48113018900,0.28804475069046,0.267403215169907,0.387683808803558,0.185759052634239,5883,1900,3531369,4,53319.3656297807,0.576576576576577,0.125276219615842,0.212986571477137,0.00166592616064761,0.000538034966042914,-6.39737405755967,-7.5275870072696,7.54960916515453,15.0771961724241,10.8840548768059,0,0,2072.52993291236,-0.28804475069046
48113019013,-0.0378110073506832,-0.0593344122171402,0.10180988162756,0.170601814985275,5105,1572,1376142,4,30188.7057786484,0.611949069539667,0.175514201762977,0.0603330068560235,0.00370964624290226,0.00114232397528743,-5.59681875922657,-6.77469051683618,7.36010397298915,14.1347944898253,10.3152231525752,1,1,738.362693229684,0.0378110073506832
48113019016,0.0300882998853922,0.018929285928607,0.116606593132019,0.148142427206039,2935,1297,1159082,3,54453.1860306644,0.524361158432709,0.286201022146508,0.163543441226576,0.00253217632574745,0.00111898899301344,-5.97867613820409,-6.79532968614985,7.16780918431644,13.9631388704663,10.9050966396092,0,1,924.662683642972,-0.0300882998853922
48113019018,0.139495074748993,0.135733753442764,0.236570209264755,0.163890227675438,4725,2066,1480195,3,50537.3764446891,0.226243386243386,0.316613756613757,0.313227513227513,0.00319214698063431,0.00139576204486571,-5.74706155389005,-6.57431474413831,7.63336964967958,14.2076843938179,10.8304684691217,0,0,2977.52788405375,-0.139495074748993
48113019019,0.0567717403173447,0.0322286114096642,0.13630273938179,0.154400706291199,7797,2673,1716309,4,55704.5405925356,0.325381557009106,0.504937796588432,0.112222649737078,0.0045428882561357,0.00155741186464675,-5.39419228943987,-6.46472989661055,7.89095671613892,14.3556866127495,10.9278169413099,0,0,1798.58038311398,-0.0567717403173447
48113019020,0.384813040494919,0.352365553379059,0.485605180263519,0.191626265645027,6859,2518,2473448,3,60524.3964134714,0.40793118530398,0.205569324974486,0.171307770812072,0.00277305203101096,0.00101801210294294,-5.88780674908747,-6.8899034719825,7.83122021460429,14.7211236865868,11.0108018092406,0,0,3377.67813671668,-0.384813040494919
