model,n,r2,term,estimate,std.error,p.value,stars
unit_density_near05_interaction,590,0.512456900766712,pctdis,-3.23418092053523,0.17498936164734,2.4675515572267e-60,***
unit_density_near05_interaction,590,0.512456900766712,log_inc,-0.144797799808496,0.0805513983259591,0.0727622771382828,*
unit_density_near05_interaction,590,0.512456900766712,p_white,0.108504705917193,0.311127760686202,0.727406001482587,""
unit_density_near05_interaction,590,0.512456900766712,p_black,0.0763492648328948,0.311051548521342,0.806190557912973,""
unit_density_near05_interaction,590,0.512456900766712,p_asian,-0.648435669579552,0.50025301131179,0.195415915072429,""
unit_density_near05_interaction,590,0.512456900766712,gamma01a_units_IV:near_dart_05mi,1.50710445320371,0.781075237259318,0.0541522669102158,*
units_near05_interaction,590,0.0778169311997473,(Intercept),5.46757853569335,0.504568300048944,4.82669632938437e-25,***
units_near05_interaction,590,0.0778169311997473,gamma01a_units_IV,-0.274855308911253,0.0907359699076253,0.00256133967775097,***
units_near05_interaction,590,0.0778169311997473,near_dart_05mi,-0.227355310445095,0.121634743969246,0.0621037026434313,*
units_near05_interaction,590,0.0778169311997473,log_land_area,0.0911160850126469,0.023330371534873,0.000105108823211566,***
units_near05_interaction,590,0.0778169311997473,pctdis,-0.0285174728822758,0.123501008413664,0.817467062320134,""
units_near05_interaction,590,0.0778169311997473,log_inc,0.0334177253052311,0.0426390934908668,0.433515888919715,""
units_near05_interaction,590,0.0778169311997473,p_white,0.22548746892234,0.163769358421925,0.16908675854191,""
units_near05_interaction,590,0.0778169311997473,p_black,0.500442835899778,0.16406328245769,0.00239050046869197,***
units_near05_interaction,590,0.0778169311997473,p_asian,0.532118446946003,0.26501388604408,0.0451183427703291,**
units_near05_interaction,590,0.0778169311997473,gamma01a_units_IV:near_dart_05mi,0.406720528156967,0.412037364802523,0.324007064725362,""
pop_density_gamma11_near05_interaction,590,0.471930476324416,(Intercept),-2.30676049110142,0.849575780913001,0.00682071327625612,***
pop_density_gamma11_near05_interaction,590,0.471930476324416,gamma11a_units_IV,-2.23612216165815,0.135660002559861,2.30939849937127e-50,***
pop_density_gamma11_near05_interaction,590,0.471930476324416,near_dart_05mi,-0.871544692490932,0.217875838071729,7.14679371095062e-05,***
pop_density_gamma11_near05_interaction,590,0.471930476324416,pctdis,-3.166170772057,0.179327972079543,3.60029541702159e-56,***
pop_density_gamma11_near05_interaction,590,0.471930476324416,log_inc,-0.190304209369823,0.0823858536516067,0.0212425330456096,**
pop_density_gamma11_near05_interaction,590,0.471930476324416,p_white,-0.729688143026553,0.31826496512055,0.0222213640235488,**
pop_density_gamma11_near05_interaction,590,0.471930476324416,p_black,-0.937870872273034,0.317883315261768,0.00330190884006865,***
pop_density_gamma11_near05_interaction,590,0.471930476324416,p_asian,-1.42460716867604,0.514437748917203,0.00579800470526045,***
pop_density_gamma11_near05_interaction,590,0.471930476324416,gamma11a_units_IV:near_dart_05mi,1.81000214609614,0.75918806557551,0.017439611231402,**
pop_density_near1_interaction,590,0.489030739971922,(Intercept),-2.18527973487054,0.857270926403261,0.0110556455659266,**
pop_density_near1_interaction,590,0.489030739971922,gamma01a_units_IV,-2.38407612559561,0.138264130166904,4.1282101385654e-54,***
pop_density_near1_interaction,590,0.489030739971922,near_dart_1mi,-0.530728773400898,0.138503066133587,0.000141019951407895,***
pop_density_near1_interaction,590,0.489030739971922,pctdis,-3.09392577300898,0.183508932671393,3.25789675920394e-52,***
pop_density_near1_interaction,590,0.489030739971922,log_inc,-0.196127639213095,0.0828583631607947,0.0182586397957979,**
pop_density_near1_interaction,590,0.489030739971922,p_white,-0.713156641458038,0.315347728919653,0.0240975977997636,**
pop_density_near1_interaction,590,0.489030739971922,p_black,-0.862353260897258,0.312443431158504,0.00596199096032985,***
pop_density_near1_interaction,590,0.489030739971922,p_asian,-1.10312212241333,0.503453593967829,0.0288402317438967,**
pop_density_near1_interaction,590,0.489030739971922,gamma01a_units_IV:near_dart_1mi,1.48707587486604,0.368123863619607,6.07331030269455e-05,***
pop_density_restrictiveness_near05,590,0.48794283448043,(Intercept),-2.16892986640338,0.836542029403901,0.00976140562857075,***
pop_density_restrictiveness_near05,590,0.48794283448043,restrictiveness,2.29518575736727,0.132881145270463,2.94311170951432e-54,***
pop_density_restrictiveness_near05,590,0.48794283448043,near_dart_05mi,-0.922781005381101,0.230746819066264,7.1787069364338e-05,***
pop_density_restrictiveness_near05,590,0.48794283448043,pctdis,-3.16245432782741,0.176192675128587,1.21779830406632e-57,***
pop_density_restrictiveness_near05,590,0.48794283448043,log_inc,-0.196524511244427,0.0811053096187738,0.0156941735106351,**
pop_density_restrictiveness_near05,590,0.48794283448043,p_white,-0.732952357326819,0.313267229196169,0.0196367793297126,**
pop_density_restrictiveness_near05,590,0.48794283448043,p_black,-0.869398405291412,0.313190492958734,0.00568158421191481,***
pop_density_restrictiveness_near05,590,0.48794283448043,p_asian,-1.24725883337145,0.503692998673758,0.0135616052067265,**
pop_density_restrictiveness_near05,590,0.48794283448043,restrictiveness:near_dart_05mi,-1.74681079630776,0.786446297271275,0.0267259019942218,**
