bord,var,data,spec,coef,se
05,LOG_PRICE,deed,11,0.219174248472324,0.00872899113157735
05,LOG_PRICE,mls,11,0.126508606489483,0.0257019948888203
05,i_white,hmda,11,0.0349162293999443,0.00282484175182454
05,LOG_inc_clean,hmda,11,0.17963726608131,0.00668237446980075
05,LOG_PRICE,deed,12,0.0404840379790986,0.00486257594186357
05,LOG_PRICE,mls,12,0.0185363507421854,0.0137820550197069
05,i_white,hmda,12,0.0151823142444151,0.0028036592031057
05,LOG_inc_clean,hmda,12,0.0304548457465127,0.00404345625125718
05,LOG_PRICE,deed,21,0.182978985624649,0.00920383815387882
05,LOG_PRICE,mls,21,0.105619107942467,0.0241926888269031
05,i_white,hmda,21,0.0261817802538183,0.00291743085775452
05,LOG_inc_clean,hmda,21,0.151966866767086,0.0074947418790608
05,LOG_PRICE,deed,22,0.0404840379790986,0.00486257594186357
05,LOG_PRICE,mls,22,0.0185363507421854,0.0137820550197069
05,i_white,hmda,22,0.0151823142444151,0.0028036592031057
05,LOG_inc_clean,hmda,22,0.0304548457465127,0.00404345625125718
06,LOG_PRICE,deed,11,0.231045388717376,0.00969623348904094
06,LOG_PRICE,mls,11,0.114726768504428,0.030356605749227
06,i_white,hmda,11,0.0409435430500175,0.00303799602610286
06,LOG_inc_clean,hmda,11,0.187678745636955,0.00740748812192039
06,LOG_PRICE,deed,12,0.0474414564414527,0.00594704432358867
06,LOG_PRICE,mls,12,0.0200864587344684,0.0170521841662181
06,i_white,hmda,12,0.0206544893172361,0.00314424918410588
06,LOG_inc_clean,hmda,12,0.0340556473363446,0.0045854602493015
06,LOG_PRICE,deed,21,0.197381306192677,0.0103380318840827
06,LOG_PRICE,mls,21,0.105221230448538,0.0300530795713619
06,i_white,hmda,21,0.0329288201695501,0.0031155914706768
06,LOG_inc_clean,hmda,21,0.159267710303424,0.00817188891441809
06,LOG_PRICE,deed,22,0.0474414564414527,0.00594704432358867
06,LOG_PRICE,mls,22,0.0200864587344684,0.0170521841662181
06,i_white,hmda,22,0.0206544893172361,0.00314424918410588
06,LOG_inc_clean,hmda,22,0.0340556473363446,0.0045854602493015
07,LOG_PRICE,deed,11,0.22865072150602,0.0103785964414871
07,LOG_PRICE,mls,11,0.122363374772769,0.0344642280581569
07,i_white,hmda,11,0.0433095367615737,0.00306724701514962
07,LOG_inc_clean,hmda,11,0.177366427239979,0.00742783341275192
07,LOG_PRICE,deed,12,0.0451061117214252,0.00540012229381183
07,LOG_PRICE,mls,12,0.00375567559343365,0.0164671444824866
07,i_white,hmda,12,0.0236564878947112,0.00313150488647395
07,LOG_inc_clean,hmda,12,0.0315305741732363,0.00480358589259854
07,LOG_PRICE,deed,21,0.190317490592739,0.0110228406887639
07,LOG_PRICE,mls,21,0.104605577662199,0.0344016112786287
07,i_white,hmda,21,0.0340573823435866,0.00323036938126604
07,LOG_inc_clean,hmda,21,0.150401726889946,0.00832070234734673
07,LOG_PRICE,deed,22,0.0451061117214252,0.00540012229381183
07,LOG_PRICE,mls,22,0.00375567559343365,0.0164671444824866
07,i_white,hmda,22,0.0236564878947112,0.00313150488647395
07,LOG_inc_clean,hmda,22,0.0315305741732363,0.00480358589259854
08,LOG_PRICE,deed,11,0.218284621638772,0.010272787579555
08,LOG_PRICE,mls,11,0.101175167456265,0.0352541573862707
08,i_white,hmda,11,0.0432510238940378,0.0032392362170671
08,LOG_inc_clean,hmda,11,0.169019047503068,0.00766095386242232
08,LOG_PRICE,deed,12,0.0404465372256364,0.00483010067276604
08,LOG_PRICE,mls,12,-0.0081255550589219,0.0143826235745335
08,i_white,hmda,12,0.0230226717801311,0.00321799048024984
08,LOG_inc_clean,hmda,12,0.0288980702170013,0.00470417715753503
08,LOG_PRICE,deed,21,0.18285958044058,0.0109084570149318
08,LOG_PRICE,mls,21,0.0618165105403675,0.0324539800011713
08,i_white,hmda,21,0.0342039005011381,0.00350258691039765
08,LOG_inc_clean,hmda,21,0.143319591312471,0.00888191176029674
08,LOG_PRICE,deed,22,0.0404465372256364,0.00483010067276604
08,LOG_PRICE,mls,22,-0.0081255550589219,0.0143826235745335
08,i_white,hmda,22,0.0230226717801311,0.00321799048024984
08,LOG_inc_clean,hmda,22,0.0288980702170013,0.00470417715753503
09,LOG_PRICE,deed,11,0.226231242177597,0.0111083759794811
09,LOG_PRICE,mls,11,0.13095834125374,0.0358765913382358
09,i_white,hmda,11,0.0433667844088315,0.00357931761240346
09,LOG_inc_clean,hmda,11,0.170899533783773,0.00832304636869632
09,LOG_PRICE,deed,12,0.0420133517539587,0.005710276612007
09,LOG_PRICE,mls,12,0.0295500336194124,0.0233144431871242
09,i_white,hmda,12,0.0235458754493175,0.00353479851949505
09,LOG_inc_clean,hmda,12,0.0271949145897299,0.00549926761861946
09,LOG_PRICE,deed,21,0.186497478359951,0.0119116931405156
09,LOG_PRICE,mls,21,0.127558913528581,0.0400896376990529
09,i_white,hmda,21,0.0344349017306792,0.00381761441658845
09,LOG_inc_clean,hmda,21,0.138926247291441,0.00959370582246596
09,LOG_PRICE,deed,22,0.0420133517539587,0.005710276612007
09,LOG_PRICE,mls,22,0.0295500336194124,0.0233144431871242
09,i_white,hmda,22,0.0235458754493175,0.00353479851949505
