fid,mode,region,agency,name,year_open,cost_usd,riders,status,notes,web,grade,construct,automated,year_clos,ffga_date,ffga_cost,ffga_shr,reference,limited,country,brt_rating,project,route_km,brt_year,through
"46055",Intercity Rail,,Amtrak,Illini (Illinois_Service),,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Illini (Illinois_Service),494.687123739961,,"0"
"46056",Intercity Rail,,Amtrak,Lake Shore Limited,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Lake Shore Limited,1872.07998515016,,"0"
"46057",Intercity Rail,,Amtrak,Keystone Service,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Keystone Service,317.270092060552,,"0"
"46058",Intercity Rail,,Amtrak,Heartland Flyer,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Heartland Flyer,333.316585005136,,"0"
"46059",Intercity Rail,,Amtrak,Ethan Allen Express,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Ethan Allen Express,391.635445757312,,"0"
"46060",Intercity Rail,,Amtrak,Hoosier State,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Hoosier State,311.737877239281,,"0"
"46061",Intercity Rail,,Amtrak,Hiawathas,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Hiawathas,138.601950062602,,"0"
"46062",Intercity Rail,,Amtrak,Regional,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Regional,1041.38807607454,,"0"
"46063",Intercity Rail,,Amtrak,Pennsylvanian,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Pennsylvanian,746.657941144624,,"0"
"46064",Intercity Rail,,Amtrak,Silver_Service/Palmetto,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Silver_Service/Palmetto,2980.94246782289,,"0"
"46065",Intercity Rail,,Amtrak,San Joaquins,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,San Joaquins,588.401705528951,,"0"
"46066",Intercity Rail,,Amtrak,NEC,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,NEC,739.640934196762,,"0"
"46067",Intercity Rail,,Amtrak,Maple Leaf,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Maple Leaf,748.552442358774,,"0"
"46068",Intercity Rail,,Amtrak,Pacific Surfliner,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Pacific Surfliner,560.875670032861,,"0"
"46069",Intercity Rail,,Amtrak,New Haven - Springfield,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,New Haven - Springfield,100.105721840925,,"0"
"46070",Intercity Rail,,Amtrak,California Zephyr,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,California Zephyr,4324.92478573329,,"0"
"46071",Intercity Rail,,Amtrak,Blue Water,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Blue Water,512.916148027718,,"0"
"46072",Intercity Rail,,Amtrak,Cardinal,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Cardinal,1867.23776514601,,"0"
"46073",Intercity Rail,,Amtrak,Capitol Limited,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Capitol Limited,1290.6007423411,,"0"
"46074",Intercity Rail,,Amtrak,Acela,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Acela,739.648336229368,,"0"
"46075",Intercity Rail,,Amtrak,Auto Train,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Auto Train,1470.40959424915,,"0"
"46080",Bus Rapid Transit,St. Petersburg FL USA, Pinellas Suncoast Transit Authority,SunRunner Central Avenue BRT,"2022",41,"5400",existing,,https://www.psta.net/about-psta/projects/sunrunner/,at grade,2020-2022,,,2020-05,43.9,0.5,"Yonah Freemark; OpenStreetMap contributors","0",USA,,SunRunner Central Avenue BRT,28.5672207430845,,"0"
"46081",Bus Rapid Transit,Albany NY USA,CDTA,BusPlus Purple Line,"2023",81.2,,existing,,https://www.cdta.org/brt,at grade,2021-2023,,,2020-5,81.2,0.75,"Yonah Freemark; OpenStreetMap contributors","0",USA,,Washington-Western (Purple Line) BRT,13.6011780688368,,"0"
"46084",Commuter Rail,Boston MA USA,MBTA,Fall River/New Bedford Line,"2025",1047,"2280",existing,First phase will operate as extension of Middleborough line.,https://www.mass.gov/service-details/about-the-south-coast-rail-project,at grade,2019-2025,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",USA,,South Coast Rail Phase 1,60.4429300264322,,"0"
"46086",Streetcar,Los Angeles CA USA,OC Transpo,OC Streetcar,,408,,uc,Delayed from 2023 opening.,https://octa.net/ocstreetcar,at grade,2018-2026,,,2018-11,408,0.365,"Yonah Freemark; OpenStreetMap contributors","0",USA,,OC Streetcar Santa Ana/Garden Grove,7.74371930596958,,"0"
"46087",Light Rail,Ottawa ON CAN,OC Transpo,Line 1/3,,1600,,uc,"Estimated cost; mileage and cost are for full segment.",https://www.octranspo.com/en/o-train-extension/,at grade,2019-2027,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",CAN,,Confederation Line West Tunney's Pasture–Lincoln Fields,5.80832986383218,,"0"
"46090",Bus Rapid Transit,Indianapolis IN USA,IndyGO,Blue Line,,220,,planned,,https://www.indygo.net/blue-line/,at grade,2025-2027,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",USA,,Blue Line,42.0473369117993,,"0"
"46093",Bus Rapid Transit,Pittsburgh PA USA,Port Authority of Allegheny County,Downtown-Uptown-Oakland-East End BRT,,195,,planned,,https://www.rideprt.org/inside-Pittsburgh-Regional-Transit/projects-and-programs/bus-rapid-transit/,at grade,2025-,,,2020-05,249.9,0.4,"Yonah Freemark; OpenStreetMap contributors","0",USA,,Downtown-Uptown-Oakland-East End BRT,21.8354596339673,,"0"
